,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
3360,68,1697441564.0168288,592514.9396362305,4134550.9494628906,-2.3344461811532984,592491.8370666504,4134520.705871582,0.8085261133049926,37.34726739595133,0.0,0.764547671931937
3361,68,1697441564.0945866,592514.8413085938,4134550.84677124,-2.334186943384557,592492.4082641602,4134521.304122925,0.8085261133049926,38.4623178290154,0.0,0.8037485208899879
3362,68,1697441564.1819944,592514.6398010254,4134550.6361694336,-2.3336441617597856,592492.9853210449,4134521.908493042,0.8085261133049926,34.58642923906391,0.0,0.8886959181318239
3363,68,1697441564.33524,592514.1913757324,4134550.166610718,-2.3322766934448875,592493.5439605713,4134522.4935913086,0.8085261133049926,29.3913101753349,0.0,0.9335746963274684
3364,68,1697441564.4339845,592513.9733276367,4134549.937850952,-2.331571206414605,592494.0621490479,4134523.036300659,0.8085261133049926,26.9643918293948,0.0,1.021637495532209
3365,68,1697441564.4970188,592513.7798156738,4134549.734542847,-2.330901955133569,592494.6135559082,4134523.6138305664,0.8085261133049926,14.612268090120992,5.8,1.1129780508276306
3366,68,1697441564.573484,592513.5553894043,4134549.498474121,-2.330074197844164,592495.1894836426,4134524.217041016,0.8085261133049926,4.709999999999999,11.00988729573659,1.1240269282881985
3367,68,1697441564.7332127,592513.0816040039,4134548.998641968,-2.328250882476496,592495.7308959961,4134524.784088135,0.8085261133049926,7.85,7.25,1.2649350529576964
3368,68,1697441564.8159597,592512.8598937988,4134548.764129639,-2.327295317566774,592496.3159484863,4134525.396850586,0.8085261133049926,18.116101480788927,8.7,1.364433007454643
3369,68,1697441564.8956096,592512.6653137207,4134548.5579223633,-2.326384625478174,592496.904083252,4134526.0128326416,0.8085261133049926,15.723740863063329,0.0,1.400157693802429
3370,68,1697441565.055015,592512.2386474609,4134548.104492188,-2.324322251104133,592497.4472961426,4134526.581787109,0.8085261133049926,3.14,11.6,1.4720827744219542
3371,68,1697441565.1421013,592512.125213623,4134547.9835968018,-2.323755578519332,592498.0054321289,4134527.16633606,0.8085261133049926,15.699999999999998,0.0,1.5936352543387584
3372,68,1697441565.215157,592511.9552307129,4134547.802200317,-2.322841393032812,592498.5680847168,4134527.755645752,0.8085261133049926,18.66989655641672,0.0,1.3971456126922803
3373,68,1697441565.2946122,592511.6705932617,4134547.497741699,-2.321383551254815,592499.1560668945,4134528.37147522,0.8085261133049926,18.725183993164045,0.0,1.4218002619408432
3374,68,1697441565.455675,592511.2100830078,4134547.003326416,-2.3191142507669884,592499.5690917969,4134528.8040618896,0.8085261133049926,11.62897734379919,4.35,1.5577644143026397
3375,68,1697441565.5474532,592510.9789733887,4134546.754333496,-2.3177831241133253,592500.0426025391,4134529.300003052,0.8085261133049926,22.20265625283609,0.0,1.94371110862818
3376,68,1697441565.6138546,592510.8043212891,4134546.565765381,-2.316621659264989,592500.5283508301,4134529.808776856,0.8085261133049926,18.271643695757607,0.0,2.0998903357706724
3377,68,1697441565.697625,592510.5106506348,4134546.247634888,-2.3145458132035346,592500.9909667969,4134530.2932891846,0.8085261133049926,23.99986335492044,0.0,2.130292566066128
3378,68,1697441565.7732823,592510.3037719727,4134546.022796631,-2.313000542467192,592501.4365234375,4134530.759933472,0.8085261133049926,0.0,14.5,2.109039553346709
3379,68,1697441565.9333832,592509.7935180664,4134545.465255737,-2.309219957747517,592501.9261779785,4134531.272781372,0.8085261133049926,0.0,15.347860799222634,2.38262514899205
3380,68,1697441566.0156014,592509.6163024902,4134545.270614624,-2.307769156656093,592502.3975524902,4134531.766494751,0.8085261133049926,0.0,20.06785188997367,3.021751785482568
3381,68,1697441566.0934908,592509.3543395996,4134544.9817962646,-2.3052567224680542,592502.863494873,4134532.254486084,0.8085261133049926,0.0,24.830403701904533,3.560622716388452
